RMS_X,RMS_Y,RMS_Z,PP_X,PP_Y,PP_Z,KURTOSIS_X,KURTOSIS_Y,KURTOSIS_Z,F1_X,F1_Y,F1_Z,M1_X,M1_Y,M1_Z,F2_X,F2_Y,F2_Z,M2_X,M2_Y,M2_Z,F3_X,F3_Y,F3_Z,M3_X,M3_Y,M3_Z,F4_X,F4_Y,F4_Z,M4_X,M4_Y,M4_Z,F5_X,F5_Y,F5_Z,M5_X,M5_Y,M5_Z,F6_X,F6_Y,F6_Z,M6_X,M6_Y,M6_Z,F7_X,F7_Y,F7_Z,M7_X,M7_Y,M7_Z,F8_X,F8_Y,F8_Z,M8_X,M8_Y,M8_Z,Label
1.31,1.21,3.01,6.12,6.41,12.62,-0.98,-0.6,-1.23,28,119,28,-5.34,-7.88,2.55,57,21,57,-22.35,-12.37,-18.45,318,28,119,-22.69,-12.9,-20.85,119,57,144,-23.48,-16.83,-22.6,324,131,21,-25.01,-21.4,-23.21,336,49,51,-26.36,-22.58,-23.27,328,139,357,-26.83,-23.54,-23.93,350,124,328,-27.97,-24.16,-24.2,5
1.44,1.07,3.46,6.17,5.91,14,-1.14,-0.5,-1.23,28,119,28,-4.55,-9.45,3.58,57,28,24,-18.91,-14.61,-15.87,318,23,57,-24.07,-16.19,-16.77,321,57,86,-24.48,-16.31,-23.78,119,129,140,-25.91,-21.1,-23.87,24,137,119,-26.08,-22.14,-24.31,286,148,147,-27.91,-24.47,-24.65,325,86,328,-29.01,-25.6,-24.99,5
1.44,1.13,3.43,6.58,5.96,13.48,-1.06,-0.53,-1.23,28,119,28,-4.44,-8.97,3.6,57,28,57,-18.24,-15.06,-16.8,318,57,119,-22.28,-16.19,-23.03,119,131,144,-23.88,-18.65,-23.31,287,141,299,-28.43,-20.65,-23.82,336,23,347,-28.97,-22.49,-24.3,324,147,51,-29.23,-23.32,-25.15,326,21,86,-29.39,-23.7,-26.34,5
1.28,1.11,2.93,6.07,5.7,11.2,-0.91,-0.59,-1.25,28,119,28,-5.84,-8.76,1.97,57,28,57,-18.21,-13.86,-17.45,318,21,119,-22.78,-14.04,-22.06,119,132,350,-23.31,-17.39,-25.32,328,57,132,-23.4,-17.89,-25.32,313,137,148,-27.04,-20.69,-25.51,292,148,299,-27.8,-22.64,-26.51,308,141,408,-28.37,-22.65,-27.42,5
1.38,1.09,3.19,6.3,6.53,11.78,-1.04,-0.18,-1.27,28,119,28,-4.83,-10.97,3.01,57,28,57,-18.88,-12.84,-15.05,318,57,350,-25.53,-13.76,-23.39,119,129,402,-25.53,-18.1,-25.28,324,127,144,-27.02,-22.5,-25.62,32,21,385,-27.09,-23.22,-25.64,350,135,61,-27.55,-24.56,-25.95,345,350,43,-28.18,-25.96,-26.16,5
0.68,1.14,3,4.35,6.42,11.84,-0.03,-0.35,-1.25,318,119,28,-5.82,-8.66,2.45,345,28,57,-11.97,-15.79,-16.21,350,57,24,-12.48,-15.84,-19.51,328,131,119,-12.9,-17.22,-21.69,119,135,350,-13.07,-19.88,-22.7,290,21,144,-13.43,-20.68,-22.77,261,139,328,-14.04,-21.99,-22.85,336,148,384,-15.3,-24.06,-24.5,5
1.25,1.05,2.9,5.34,5.54,11.38,-1.11,-0.43,-1.3,28,119,28,-5.57,-10.58,2.19,57,28,57,-19.38,-13.59,-16.43,318,57,385,-21.71,-15.2,-24.59,328,129,119,-26.28,-18.81,-24.6,119,140,22,-26.3,-21.12,-24.68,321,26,140,-26.9,-21.9,-24.86,290,21,144,-27.54,-25.28,-25.85,336,299,347,-27.9,-26.02,-25.85,5
1.2,1.21,2.92,5.38,6.61,13.48,-0.98,-0.55,-1.11,28,119,28,-6.29,-9.16,2.09,57,132,57,-19.21,-12.65,-17.51,328,21,35,-24.56,-15.03,-20.6,119,57,119,-24.93,-15.75,-21.75,318,28,141,-25.26,-16.35,-22.87,345,141,129,-25.67,-21.63,-23.26,23,26,328,-26.31,-21.89,-23.48,321,124,39,-27.12,-24.45,-23.92,5
1.38,1.23,3.28,6.08,6.57,12.57,-1.13,-0.58,-1.28,28,119,28,-4.62,-7.69,3.11,57,132,57,-19.49,-16.39,-20.28,318,28,119,-22.39,-16.99,-20.96,119,141,141,-23.22,-17.29,-21.68,47,57,350,-26.99,-18.26,-22.85,328,21,357,-27.88,-22.1,-23.21,339,124,328,-28.48,-24.75,-23.45,299,148,21,-29.19,-26.21,-24.8,5
0.67,1.18,3.31,3.74,7.39,12.46,-0.17,-0.39,-1.29,318,119,28,-5.3,-9.9,3.32,350,28,57,-11.38,-14.63,-13.39,119,57,22,-11.95,-15.15,-19.01,132,131,119,-14.25,-16.79,-23.21,357,133,350,-14.45,-18.39,-23.81,409,21,51,-15,-19.21,-24.99,290,137,408,-15.17,-19.53,-25,292,126,86,-15.27,-22.59,-25.48,5
